School,Sector,Type,SES,ADII,Metro,d1,d2,d3,d4,d5,parta1_1,parta1_2,parta1_3,parta2_1,parta2_2,parta2_3,parta3_1,parta3_2,parta3_3,parta3_4,parta4_1,parta4_2,parta4_3,parta4_4,parta4_5,parta5_1,parta5_2,parta5_3,parta_total,pre_1,pre_2,post_8_1,post_8_2,ds_data,ds_gateway,ds_reporting,ds_response,ds_climate,ds_total,quadrant_results,descriptor
11,Government,Combined,Medium,Below Average,Non-metro,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,16,6,6,7,7,38,45,57,60,60,260,Q3,Building
12,Catholic,Primary,High,Above Average,Metro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,,,,,,,,,,,,
13,Government,Secondary,High,Above Average,Metro,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,15,8,10,10,10,75,75,80,80,80,390,Q4,Flourishing
14,Government,Secondary,High,Above Average,Metro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,9,9,9,10,70,75,57,80,77,358,Q4,Flourishing
15,Government,Primary,High,Below Average,Non-metro,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,19,8,8,9,9,48,40,57,69,77,291,Q3,Building
16,Government,Primary,High,Above Average,Metro,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,17,9,9,8,8,78,70,54,54,70,327,Q4,Flourishing
17,Government,Primary,Low,Above Average,Metro,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,17,,,,,,,,,,,,
18,Government,Primary,High,Above Average,Metro,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,14,9,9,7,9,54,50,46,74,57,281,Q3,Building
19,Independent,Primary,Low,Above Average,Metro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,,,,,,,,,,,,
20,Government,Primary,High,Above Average,Metro,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,15,5,5,5,5,69,50,54,60,67,300,Q3,Building
21,Government,Primary,High,Above Average,Non-metro,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,9,9,9,8,80,80,80,74,80,394,Q4,Flourishing
22,Catholic,Primary,High,Above Average,Non-metro,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,19,6,6,,,,,,,,,,
23,Government,Primary,Medium,Below Average,Non-metro,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,12,8,8,8,8,41,70,63,77,50,301,Q4,Flourishing
24,Government,Primary,Medium,Below Average,Non-metro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,21,9,9,9,9,60,75,71,66,80,352,Q4,Flourishing
25,Government,Primary,High,Above Average,Metro,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,21,7,8,8,10,55,70,66,80,70,341,Q4,Flourishing
26,Catholic,Secondary,High,Above Average,Metro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,7,7,8,10,69,60,60,66,77,331,Q4,Flourishing
27,Government,Primary,Medium,Below Average,Non-metro,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,14,4,6,5,6,58,65,71,69,77,340,Q4,Flourishing
28,Government,Primary,Low,Below Average,Non-metro,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,17,2,3,7,8,36,40,57,69,77,278,Q3,Building
29,Government,Combined,High,Above Average,Metro,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,19,8,9,5,5,50,45,40,43,60,238,Q3,Building
30,Catholic,Primary,Low,Above Average,Metro,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,18,7,7,5,7,64,50,54,51,67,287,Q3,Building
31,Catholic,Primary,Medium,Below Average,Non-metro,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,16,9,9,9,9,72,60,51,57,70,311,Q4,Flourishing
32,Catholic,Primary,Medium,Below Average,Non-metro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,8,8,8,8,65,75,63,63,80,346,Q4,Flourishing
33,Catholic,Primary,High,Below Average,Non-metro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,22,8,8,8,8,65,50,60,71,70,316,Q4,Flourishing
34,Catholic,Primary,High,Above Average,Metro,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,17,7,8,8,8,42,40,57,63,50,252,Q3,Building
35,Catholic,Primary,High,Above Average,Non-metro,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,11,7,7,6,7,36,25,20,40,50,171,Q2,Emerging
36,Catholic,Primary,High,Above Average,Metro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,,,,,,,,,,,,
37,Catholic,Primary,High,Above Average,Metro,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,20,7,6,7,7,52,60,49,57,50,268,Q3,Building
38,Catholic,Primary,High,Above Average,Metro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,7,7,7,9,29,25,60,77,73,265,Q3,Building
39,Catholic,Primary,Medium,Below Average,Non-metro,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,14,8,8,1,4,32,30,46,31,57,196,Q2,Emerging
40,Catholic,Primary,Medium,Below Average,Non-metro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,21,8,8,,,,,,,,,,
41,Catholic,Primary,High,Above Average,Non-metro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,7,8,8,9,55,70,63,77,70,335,Q4,Flourishing
42,Government,Primary,Low,Below Average,Non-metro,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,19,,,,,,,,,,,,
43,Independent,Combined,High,Above Average,Metro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,20,4,7,5,9,43,40,51,63,70,267,Q3,Building
44,Government,Combined,Medium,Below Average,Non-metro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,20,7,8,7,8,58,60,60,69,67,314,Q4,Flourishing
45,Government,Primary,High,Above Average,Metro ,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,18,8,8,8,8,62,45,54,49,70,280,Q3,Building
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
